# output relocated catalog from HYPODD (details can be found in Yao et al.[2019])
# EVID   YYYY MM DD HH MM  SECND  LONGITUDE   LATITUDE  DEPTH  ML  Pobs Sobs DX(m) DY(m) DZ(m)
								    P   S (phases)	
80403553 2010 04 03 22 25 49.700 -115.295931 32.273460 11.745  1.8   3   9  21.7  18.7  18.3
14607212 2010 04 03 22 47 45.440 -115.293962 32.276371  1.942  2.0  71  55  15.9  16.8  16.7
80403563 2010 04 03 23 03 19.960 -115.303190 32.288538  8.738  1.2   2   7   8.5  13.1  16.1
80403567 2010 04 03 23 05 07.860 -115.292424 32.282981 10.840  2.5   0   4  10.7  12.4  13.0
80403569 2010 04 03 23 07 31.420 -115.290658 32.283754 10.975  1.3   1   3  12.9  15.4  13.0
80403573 2010 04 03 23 10 57.520 -115.288485 32.270638  1.887  2.2  38  44  16.8  13.6  10.6
14607244 2010 04 03 23 25 47.360 -115.289990 32.280039 15.573  2.1 148 159   5.3   7.7   7.2
80403583 2010 04 03 23 28 23.060 -115.290340 32.279915 15.529  1.8 105 137   7.4   9.0   8.6
80403585 2010 04 03 23 29 28.520 -115.307690 32.266791  9.914  1.1  15  14   9.2  12.3  12.7
80403586 2010 04 03 23 34 26.240 -115.289689 32.280111 15.656  1.3  15  33  10.6  10.0  11.5
80403588 2010 04 03 23 35 08.600 -115.291300 32.314848  4.336  1.4   7   6  24.3  22.8  16.5
80403593 2010 04 03 23 37 18.020 -115.291504 32.280186 15.691  1.7  28  23   8.7   8.9  10.2
14607260 2010 04 03 23 37 23.740 -115.290698 32.279159 15.712  2.4  94 119   9.2  10.8   8.3
14607268 2010 04 03 23 39 04.160 -115.288420 32.271857  2.101  2.1  34  64  16.3  12.7  12.4
14607276 2010 04 03 23 46 59.260 -115.301050 32.246940 11.755  1.7  35  24   9.2  10.9  10.2
80403603 2010 04 03 23 54 49.300 -115.287394 32.270268  2.275  1.1   1   3  17.0  19.2  20.9
80404604 2010 04 04 00 04 21.080 -115.290169 32.280929 15.269  1.7  74  84  12.3  11.2  12.2
